genres,name,discount,discounted_price,original_price
"['Puzzle', 'Strategy', 'Tactical', 'Adventure', 'Indie']",Nova-111,-80%,$1.99,$9.99
"['Platform', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",Vasilis,-75%,$1.24,$4.99
"['Platform', 'Adventure']",Woodle Tree Adventures Deluxe,-92%,$0.39,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Tyd wag vir Niemand,-75%,$2.49,$9.99
"['Music', 'Puzzle']",Energy Cycle Edge,-50%,$2.49,$4.99
"['Platform', 'Adventure', 'Arcade']",El Gancho,-60%,$2.79,$6.99
"['Puzzle', 'Indie', 'Arcade']",Petal Crash,-30%,$9.79,$13.99
"['Shooter', 'Platform', 'Indie', 'Arcade']",Gutwhale,-60%,$1.99,$4.99
"['Music', 'Puzzle', 'Indie', 'Arcade']",Sonar Beat,-20%,$1.99,$2.49
"['Fighting', 'Indie', 'Arcade']",Infinity Runner,-65%,$2.44,$6.99
"[""Hack and slash/Beat 'em up"", 'Arcade']",Golden Axe,-40%,$2.99,$4.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Headspun,-60%,$5.19,$12.99
"['Music', 'Platform', 'Puzzle', 'Simulator', 'Indie', 'Arcade']",Grass Cutter: Mutated Lawns,-70%,$2.09,$6.99
"['Puzzle', 'Adventure', 'Indie', 'Arcade']",Neon Junctions,-80%,$0.99,$4.99
"['Platform', 'Racing', 'Adventure', 'Indie']",Air Bounce: The Jump 'n' Run Challenge,-40%,$4.79,$7.99
"['Shooter', 'Racing', 'Indie', 'Arcade']",Gridd: Retroenhanced,-60%,$4.79,$11.99
"['Platform', 'Puzzle', 'Adventure', 'Indie', 'Arcade']",Save the Ninja Clan,-70%,$0.89,$2.99
"['Puzzle', 'Indie']",Catty & Batty: The Spirit Guide,-50%,$2.49,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie', 'Arcade']",Escape from Life Inc,-60%,$3.99,$9.99
"['Puzzle', 'Strategy', 'Indie']",GraviFire,-60%,$1.99,$4.99
"['Puzzle', 'Indie']",Grab the Bottle,-80%,$0.99,$4.99
"['Platform', 'Indie', 'Arcade']",Arkan: The Dog Adventurer,-50%,$2.49,$4.99
"['Shooter', 'Racing', 'Arcade']",Of Tanks and Demons III,-40%,$2.99,$4.99
"['Music', 'Puzzle', 'Indie', 'Arcade']",Energy Invasion,-60%,$1.19,$2.99
['Platform'],Acalesia,-40%,$2.99,$4.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Pixel Devil and the Broken Cartridge,-40%,$2.99,$4.99
"['Platform', 'Adventure', 'Indie']",Glam's Incredible Run: Escape from Dukha,-60%,$1.99,$4.99
"['Platform', 'Adventure', 'Indie']",Oliver's Adventures in the Fairyland,-40%,$4.19,$6.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",NeverEnd,-70%,$0.89,$2.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Rusty Gun,-40%,$2.99,$4.99
"['Indie', 'Arcade']",OctaFight,-50%,$2.99,$5.99
"['Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure', 'Indie', 'Visual Novel']",War of the Human Tanks: Alter,-70%,$1.49,$4.99
['Shooter'],Shapeshooter,-50%,$1.99,$3.99
"['Platform', 'Adventure', 'Arcade']",Super Hiking League DX,-50%,$2.49,$4.99
"['Platform', 'Puzzle', 'Adventure']",Escape From Tethys,-50%,$4.99,$9.99
"['Puzzle', 'Indie', 'Arcade']",Spiral Splatter,-70%,$1.49,$4.99
['Strategy'],Royal Roads,-50%,$4.99,$9.99
"['Platform', 'Racing', 'Indie', 'Arcade']",Razed,-80%,$2.39,$11.99
"['Platform', 'Adventure', 'Indie']",Chop is Dish,-40%,$2.99,$4.99
"['Platform', 'Puzzle', 'Adventure', 'Indie', 'Arcade']",Balthazar's Dream,-20%,$6.39,$7.99
"['Shooter', 'Platform', 'Indie']",SkyTime,-60%,$1.19,$2.99
"['Platform', 'Adventure', 'Indie']",Kyurinaga's Revenge,-60%,$3.99,$9.99
"['Puzzle', 'Indie', 'Card & Board Game']",Energy Balance,-60%,$1.19,$2.99
"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",One Eyed Kutkh,-70%,$1.49,$4.99
"['Adventure', 'Indie']",Crashbot,-70%,$2.99,$9.99
"['Puzzle', 'Adventure', 'Indie']",Lanternium,-40%,$2.99,$4.99
"['Strategy', 'Adventure']",Lost Artifacts: Time Machine,-50%,$4.99,$9.99
"['Shooter', 'Indie']",Friends vs Friends,-80%,$1.19,$5.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",In-Vert,-40%,$2.99,$4.99
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)']",Mecho Wars: Desert Ashes,-70%,$2.99,$9.99
"['Shooter', 'Arcade']",Round Invaders,-40%,$1.79,$2.99
['Puzzle'],Sudoku Master,-40%,$2.99,$4.99
"['Shooter', 'Arcade']",Cannon Army,-40%,$1.49,$2.49
"['Fighting', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie']",Atone: Heart of the Elder Tree,-33%,$10.04,$14.99
