genres,name,discount,discounted_price,original_price
"['Adventure', 'Indie']",Daymare: 1998,-80%,$7.99,$39.99
['Adventure'],Stubbs the Zombie in Rebel Without a Pulse,-65%,$6.99,$19.99
"['Simulator', 'Sport', 'Strategy', 'Indie']",Axis Football 2021,-25%,$11.24,$14.99
"['Shooter', 'Platform', 'Adventure', 'Indie', 'Arcade']",My Friend Pedro,-75%,$4.99,$19.99
['Strategy'],Worms Battlegrounds + Worms W.M.D,-80%,$4.99,$24.99
"['Adventure', 'Indie']",Maid of Sker,-50%,$12.49,$24.99
"['Fighting', 'Role-playing (RPG)', 'Adventure', 'Indie']",Absolver,-85%,$4.49,$29.99
"['Simulator', 'Sport']",Everybody's Golf VR,-50%,$14.99,$29.99
"['Platform', 'Role-playing (RPG)', 'Adventure']",Source of Madness,-35%,$12.99,$19.99
"['Platform', 'Indie']",TowerFall Ascension,-80%,$2.99,$14.99
"['Platform', 'Puzzle', 'Adventure', 'Indie']",Aeterna Noctis,-50%,$14.99,$29.99
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",Valkyria Chronicles 4: Complete Edition,-75%,$12.49,$49.99
"['Platform', 'Adventure', 'Indie']",Spelunky,-90%,$1.49,$14.99
"['Simulator', 'Indie']",Heliborne,-50%,$14.99,$29.99
"['Simulator', 'Adventure']",Bee Simulator,-65%,$6.99,$19.99
"['Shooter', 'Adventure', 'Indie', 'Arcade']",Hotline Miami Collection,-75%,$4.99,$19.99
"['Fighting', ""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",Final Vendetta,-50%,$12.49,$24.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up""]",God Eater Resurrection,-75%,$4.99,$19.99
"['Role-playing (RPG)', 'Adventure']",Paranormal Activity: The Lost Soul,-60%,$11.99,$29.99
"['Adventure', 'Indie']",Observer: System Redux,-50%,$14.99,$29.99
"['Shooter', 'Puzzle', 'Strategy', 'Adventure', 'Indie']",The Talos Principle: Deluxe Edition,-85%,$4.49,$29.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up""]",Titan Quest: Ragnarök,-80%,$5.99,$29.99
"['Puzzle', 'Racing', 'Role-playing (RPG)']",Pocoyo Party,-55%,$13.49,$29.99
"['Platform', 'Adventure', 'Indie']",Yooka-Laylee,-85%,$5.99,$39.99
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical']",Desperados III,-67%,$13.19,$39.99
['Shooter'],Ghost in the Shell: Stand Alone Complex,-50%,$6.49,$12.99
"['Point-and-click', 'Adventure']",South of the Circle,-40%,$7.79,$12.99
"['Shooter', 'Arcade']",Everspace: Stellar Edition,-80%,$7.99,$39.99
"['Fighting', 'Shooter', 'Simulator', 'Indie']",Everspace,-85%,$4.49,$29.99
"['Strategy', 'Quiz/Trivia', 'Indie']",Drawful 2,-60%,$3.99,$9.99
"['Puzzle', 'Adventure']",Sherlock Holmes: Crimes & Punishments,-80%,$7.99,$39.99
"['Shooter', 'Platform', 'Role-playing (RPG)', 'Adventure', 'Indie']",Dungeon Munchies,-20%,$13.59,$16.99
"['Role-playing (RPG)', 'Adventure']",Oninaki,-60%,$19.99,$49.99
"['Simulator', 'Strategy', 'Indie']",Autonauts,-70%,$5.99,$19.99
"['Strategy', 'Quiz/Trivia']",U-jin no Furi-furi Girls,-65%,$6.99,$19.99
"['Role-playing (RPG)', 'Adventure']",Shining Resonance Refrain,-80%,$5.99,$29.99
"['Shooter', 'Racing', 'Adventure', 'Indie']",American Fugitive,-70%,$5.99,$19.99
"['Platform', 'Adventure', 'Arcade']",Lucky's Tale,-70%,$5.99,$19.99
"['Platform', 'Adventure']",Wavetale,-34%,$19.79,$29.99
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Simulator', 'Strategy']",Grand Ages: Medieval,-75%,$7.49,$29.99
"['Puzzle', 'Adventure', 'Indie']",A Space for the Unbound,-20%,$15.99,$19.99
"['Adventure', 'Indie']",UnMetal,-60%,$7.99,$19.99
"['Adventure', 'Indie']",Blair Witch VR,-50%,$14.99,$29.99
"['Platform', 'Adventure', 'Indie']",Yooka-Laylee and the Impossible Lair,-80%,$5.99,$29.99
"['Simulator', 'Sport', 'Strategy', 'Indie']",Axis Football 2020,-25%,$7.49,$9.99
"['Adventure', 'Visual Novel']",Sakura Succubus 5,-50%,$3.99,$7.99
['Adventure'],Concrete Genie,-50%,$14.99,$29.99
"['Shooter', 'Simulator', 'Adventure', 'Indie']",Contagion VR: Outbreak,-40%,$8.99,$14.99
"['Point-and-click', 'Adventure']",Blade Runner: Enhanced Edition,-50%,$4.99,$9.99
"['Platform', 'Adventure', 'Indie', 'Arcade']",Kaze and the Wild Masks,-75%,$7.49,$29.99
"['Role-playing (RPG)', 'Adventure', 'Indie']",Windbound,-90%,$1.99,$19.99
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Arcade', 'Card & Board Game']",Super Bullet Break,-30%,$13.99,$19.99
"['Shooter', 'Indie', 'Arcade']",Crisis VRigade 2,-30%,$13.99,$19.99
"['Adventure', 'Visual Novel']",Freezer Pops,-40%,$5.99,$9.99
"['Racing', 'Adventure']",Horse Club Adventures,-40%,$14.99,$24.99
"['Puzzle', 'Adventure']",Suicide Guy VR,-55%,$4.49,$9.99
"['Role-playing (RPG)', 'Adventure', 'Arcade']",Chronos: Before the Ashes,-75%,$7.49,$29.99
"['Racing', 'Simulator', 'Sport', 'Indie', 'Arcade']",Lonely Mountains: Downhill,-50%,$9.99,$19.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up""]",Vikings: Wolves of Midgard,-60%,$11.99,$29.99
"['Simulator', 'Sport']",Yoga Master,-50%,$12.49,$24.99
"['Adventure', 'Indie']",Deliver us the Moon: Digital Deluxe,-70%,$8.99,$29.99
"['Puzzle', 'Simulator', 'Adventure', 'Indie']",Case 2: Animatronics Survival,-25%,$13.49,$17.99
"['Music', 'Sport', 'Indie', 'Arcade']",Synth Riders: Remastered Edition,-20%,$19.99,$24.99
"['Role-playing (RPG)', 'Adventure', 'Indie', 'Visual Novel']",Vampire: The Masquerade - Coteries of New York,-85%,$2.99,$19.99
['Adventure'],The Inpatient,-50%,$9.99,$19.99
"['Role-playing (RPG)', 'Strategy', 'Indie', 'Card & Board Game']",Talisman: Digital Edition - Shaman,-50%,$14.99,$29.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",Seven: Enhanced Edition,-75%,$9.99,$39.99
"['Puzzle', 'Simulator', 'Adventure', 'Indie']",Case: Animatronics,-40%,$5.99,$9.99
"['Puzzle', 'Adventure', 'Indie']",Don't Knock Twice,-60%,$7.99,$19.99
"['Puzzle', 'Adventure', 'Indie']",In Rays of the Light,-50%,$3.99,$7.99
"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Card & Board Game']","Warhammer 40,000: Space Wolf",-35%,$19.49,$29.99
"['Puzzle', 'Adventure', 'Indie']",Manifold Garden,-50%,$9.99,$19.99
"['Puzzle', 'Adventure', 'Indie']",Ghost Giant,-70%,$7.49,$24.99
"['Puzzle', 'Simulator']",Coaster Crazy,-45%,$2.74,$4.99
"['Strategy', 'Tactical', 'Adventure']",Winter Ember,-50%,$14.99,$29.99
"['Platform', 'Puzzle', 'Strategy', 'Adventure', 'Indie']",The Swapper,-90%,$1.49,$14.99
"['Shooter', 'Platform', 'Puzzle', 'Adventure']",The Mummy: Demastered,-50%,$9.99,$19.99
"['Simulator', 'Adventure', 'Indie']",Late Shift,-55%,$5.62,$12.49
"['Shooter', 'Indie', 'Arcade']",Rico,-70%,$5.99,$19.99
"['Simulator', 'Strategy', 'Adventure', 'Indie']",This War of Mine: The Little Ones,-90%,$1.99,$19.99
"['Simulator', 'Adventure']",Horse Club Adventures 2: Hazelwood Stories,-35%,$19.49,$29.99
"['Role-playing (RPG)', 'Strategy', 'Adventure']",Styx: Master of Shadows,-80%,$3.99,$19.99
"['Simulator', 'Adventure', 'Indie']",Five Dates,-40%,$7.79,$12.99
"['Simulator', 'Sport', 'Tactical']",Rugby 20,-80%,$5.99,$29.99
"['Shooter', 'Adventure', 'Arcade']",Cotton Fantasy,-60%,$15.99,$39.99
['Adventure'],Witch College Bundle,-50%,$4.49,$8.99
"['Role-playing (RPG)', 'Adventure', 'Indie', 'Visual Novel', 'Card & Board Game']",Vampire: The Masquerade - Shadows of New York,-70%,$3.89,$12.99
"['Simulator', 'Adventure', 'Indie', 'Visual Novel']",Blackberry Honey,-60%,$5.19,$12.99
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie']",Everything,-80%,$2.99,$14.99
"['Shooter', 'Platform', 'Indie', 'Arcade']","I, AI",-50%,$4.99,$9.99
"['Music', 'Adventure']",Mind Labyrinth VR Dreams,-50%,$9.99,$19.99
"['Platform', 'Adventure', 'Indie']",Freedom Planet,-30%,$10.49,$14.99
"['Role-playing (RPG)', 'Turn-based strategy (TBS)']",The Bard's Tale IV: Director's Cut,-90%,$3.99,$39.99
['Adventure'],Robinson: The Journey,-90%,$2.99,$29.99
"['Music', 'Puzzle', 'Sport']",Scribblenauts Showdown,-90%,$3.99,$39.99
"[""Hack and slash/Beat 'em up"", 'Adventure', 'Indie', 'Arcade']",Battle Axe,-50%,$14.99,$29.99
"[""Hack and slash/Beat 'em up"", 'Adventure', 'Indie', 'Arcade']",Battle Axe,-40%,$17.99,$29.99
"['Simulator', 'Adventure', 'Indie']",Night Book,-50%,$6.49,$12.99
"['Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",Eville,-30%,$10.49,$14.99
"['Simulator', 'Strategy', 'Indie']",Megaquarium,-70%,$7.64,$25.49
"['Adventure', 'Indie']",Yuoni: Rises,-50%,$10.99,$21.99
"['Shooter', 'Platform', 'Adventure', 'Arcade']",Spidersaurs,-30%,$13.99,$19.99
"['Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Indie']",Wargroove,-60%,$7.99,$19.99
"['Role-playing (RPG)', 'Adventure']",Fade to Silence,-70%,$8.99,$29.99
"['Adventure', 'Indie']",Bloodshore,-50%,$7.49,$14.99
"['Puzzle', 'Adventure', 'Indie']",35MM,-40%,$5.99,$9.99
"['Shooter', 'Adventure', 'Indie']",Trigger Witch,-60%,$5.99,$14.99
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up""]",Shadows: Awakening,-67%,$9.89,$29.99
"['Simulator', 'Sport']",Handball 21,-80%,$7.99,$39.99
"['Point-and-click', 'Adventure', 'Indie']",One Night Stand,-80%,$0.99,$4.99
"['Point-and-click', 'Adventure', 'Indie']",One Night Stand,-80%,$0.99,$4.99
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie', 'Card & Board Game']",Curious Expedition 2,-50%,$9.99,$19.99
"['Adventure', 'Indie']",Who Pressed Mute on Uncle Marcus?,-40%,$7.79,$12.99
"['Shooter', 'Strategy', ""Hack and slash/Beat 'em up"", 'Indie']",Raw Data,-80%,$7.99,$39.99
['Arcade'],Music Racer: Ultimate,-50%,$3.49,$6.99
"['Simulator', 'Sport', 'Adventure']",Deep Diving Adventures,-50%,$9.99,$19.99
['Indie'],Bullet Roulette VR,-60%,$3.59,$8.99
['Arcade'],Darius Cozmic Collection Arcade,-60%,$17.99,$44.99
"['Shooter', 'Arcade']",Natsuki Chronicles,-70%,$5.99,$19.99
"['Adventure', 'Indie', 'Arcade']",Super Sami Roll,-35%,$9.74,$14.99
